setting initial condition
minimizing
NVT equilibration
start simulation
  0%|          | 0/5000 [00:00<?, ?it/s]#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
5.0%	25000	-34583.192247836676	289.1071571619893	0.9628279050474807	0	--
  0%|          | 1/5000 [00:00<14:03,  5.93it/s]5.0%	25100	-34611.053369850095	298.00287981862067	0.9702580151720628	294	4:38
5.0%	25200	-34478.88047193969	297.72135601910367	0.9771275342244545	297	4:36
  0%|          | 3/5000 [00:00<07:15, 11.48it/s]5.1%	25300	-34729.948516324745	307.33955648381533	0.9846005243147747	296	4:37
5.1%	25400	-34777.10421818271	294.45334126141375	1.0099131426842567	250	5:28
  0%|          | 5/5000 [00:00<06:56, 12.00it/s]5.1%	25500	-34542.33906643366	307.35535895161786	1.0140647722697145	237	5:46
5.1%	25600	-34781.51350002171	302.5948553138204	1.0170048857016725	232	5:54
  0%|          | 7/5000 [00:00<07:00, 11.87it/s]5.1%	25700	-34978.015810094046	301.5327965980243	1.0250588857965415	239	5:42
5.2%	25800	-34948.432782048854	306.43609793112955	1.0312670584185246	245	5:34
  0%|          | 9/5000 [00:00<06:12, 13.41it/s]5.2%	25900	-35028.018719548854	297.32610381053365	1.0312670584185246	249	5:29
5.2%	26000	-35058.90859352055	290.9301523651376	1.0384925229394228	243	5:36
  0%|          | 11/5000 [00:00<06:09, 13.52it/s]5.2%	26100	-35211.15877940334	296.884480704612	1.03646558853692	246	5:32
5.2%	26200	-34867.25252940334	303.0688646331264	1.03646558853692	242	5:38
  0%|          | 13/5000 [00:01<06:07, 13.56it/s]5.3%	26300	-34736.907184055686	296.46534850406107	1.0323895070652789	246	5:33
5.3%	26400	-34847.110309055686	299.8268345657367	1.0323895070652789	249	5:29
  0%|          | 15/5000 [00:01<05:41, 14.59it/s]5.3%	26500	-34731.836871555686	304.11508947494355	1.0323895070652789	251	5:25
5.3%	26600	-34903.12268790018	298.4674339164569	1.0336761340862701	254	5:22
  0%|          | 17/5000 [00:01<05:25, 15.31it/s]5.3%	26700	-34930.53892462401	293.49313799240355	1.0367883449594637	256	5:19
5.4%	26800	-34772.71861212401	300.1885204968573	1.0367883449594637	242	5:38
  0%|          | 19/5000 [00:01<06:20, 13.08it/s]5.4%	26900	-34795.504481335025	301.7017768386611	1.043280480698433	241	5:39
5.4%	27000	-34970.316981335025	292.8895311750288	1.043280480698433	239	5:41
  0%|          | 21/5000 [00:01<06:21, 13.04it/s]5.4%	27100	-35117.60332702845	299.4624239360576	1.0440437720749713	241	5:38
5.4%	27200	-34981.92363952845	295.236648638154	1.0440437720749713	243	5:35
  0%|          | 23/5000 [00:01<05:55, 14.02it/s]5.5%	27300	-35156.82302873419	304.1880274432681	1.0541996857143403	241	5:38
5.5%	27400	-35155.67086324692	291.6883992323074	1.0560101849449544	243	5:36
  0%|          | 25/5000 [00:01<05:57, 13.93it/s]5.5%	27500	-35182.91305074692	298.04431763328773	1.0560101849449544	244	5:34
5.5%	27600	-35155.4038591416	300.9962961916233	1.0557299555416821	242	5:37
  1%|          | 27/5000 [00:02<06:01, 13.76it/s]5.5%	27700	-34900.96265599929	304.69926458467404	1.0509243220819262	243	5:35
5.6%	27800	-34950.11890599929	302.9608295426603	1.0509243220819262	244	5:34
  1%|          | 29/5000 [00:02<05:45, 14.41it/s]5.6%	27900	-35096.47046849929	298.54618232957387	1.0509243220819262	245	5:32
5.6%	28000	-35072.21618049563	300.04505986257345	1.0484939931273058	246	5:31
  1%|          | 31/5000 [00:02<05:33, 14.92it/s]5.6%	28100	-34995.24743049563	289.2802810233077	1.0484939931273058	242	5:36
5.6%	28200	-34849.29430549563	292.6192451697332	1.0484939931273058	243	5:35
  1%|          | 33/5000 [00:02<06:01, 13.73it/s]5.7%	28300	-34733.32555549563	300.0364111167578	1.0484939931273058	244	5:34
5.7%	28400	-35000.35749900155	289.9411632996705	1.037827344178368	243	5:35
  1%|          | 35/5000 [00:02<06:01, 13.75it/s]5.7%	28500	-34954.25593650155	290.416891049996	1.037827344178368	243	5:34
5.7%	28600	-35498.68366961222	305.31621317175603	1.0445981261164268	244	5:33
  1%|          | 37/5000 [00:02<05:44, 14.42it/s]5.7%	28700	-35410.49947823491	302.7283191675854	1.0501050554010982	245	5:31
5.8%	28800	-35186.21822823491	288.28129712655584	1.0501050554010982	244	5:34
  1%|          | 39/5000 [00:02<05:52, 14.07it/s]5.8%	28900	-35247.29635323491	296.23162519715197	1.0501050554010982	242	5:36
5.8%	29000	-35473.78854073491	299.131611177647	1.0501050554010982	241	5:38
  1%|          | 41/5000 [00:03<06:19, 13.08it/s]5.8%	29100	-35020.90572823491	295.40801224661925	1.0501050554010982	241	5:37
5.8%	29200	-35199.50562363851	300.50909170042246	1.0485865101946084	242	5:35
  1%|          | 43/5000 [00:03<05:56, 13.89it/s]5.9%	29300	-34969.88843613851	296.3169992108224	1.0485865101946084	241	5:37
5.9%	29400	-35105.41187363851	311.9885140011126	1.0485865101946084	239	5:40
  1%|          | 45/5000 [00:03<06:28, 12.77it/s]5.9%	29500	-35027.54689559265	291.4407010218361	1.0474646144156854	240	5:39
5.9%	29600	-34976.75002059265	305.49965868430365	1.0474646144156854	239	5:40
  1%|          | 47/5000 [00:03<06:22, 12.96it/s]5.9%	29700	-35132.38893449711	289.37324118507496	1.051415140647788	239	5:39
6.0%	29800	-35017.80645945552	302.70933567772994	1.050748488024071	240	5:38
  1%|          | 49/5000 [00:03<05:59, 13.78it/s]6.0%	29900	-34779.85481240461	300.06468348756084	1.0470599856288425	241	5:37
6.0%	30000	-35042.75561576645	295.6845510644455	1.047704232871363	240	5:38
  1%|          | 51/5000 [00:03<05:59, 13.75it/s]6.0%	30100	-34878.227021676255	299.19904233248263	1.0534684482440106	241	5:37
6.0%	30200	-34795.04930562098	301.82791707832865	1.055519743214796	241	5:36
  1%|          | 53/5000 [00:03<05:46, 14.30it/s]6.1%	30300	-34828.81493062098	305.5900527120429	1.055519743214796	242	5:35
6.1%	30400	-35022.96336812098	297.7477909290619	1.055519743214796	241	5:37
  1%|          | 55/5000 [00:04<05:53, 13.98it/s]6.1%	30500	-35048.20555562098	304.7697235155579	1.055519743214796	239	5:38
6.1%	30600	-35341.23580292685	306.04792711529757	1.0627423659222432	240	5:37
  1%|          | 57/5000 [00:04<05:59, 13.73it/s]6.1%	30700	-35262.336884477176	302.9664628175823	1.0695297859586534	239	5:39
6.2%	30800	-35252.47821115272	293.86244190491027	1.068567302011881	239	5:38
  1%|          | 59/5000 [00:04<06:08, 13.42it/s]6.2%	30900	-35435.21258615272	302.1807284745967	1.068567302011881	239	5:38
6.2%	31000	-35269.901039489836	295.40567532719643	1.0597561827871007	238	5:39
  1%|          | 61/5000 [00:04<06:17, 13.07it/s]6.2%	31100	-35044.39454913349	303.42125788155647	1.0590653617032764	239	5:39
6.2%	31200	-35243.625152035005	298.62461823505737	1.0621104266339945	240	5:38
  1%|▏         | 63/5000 [00:04<05:56, 13.85it/s]6.3%	31300	-35144.01389318626	303.7321154973652	1.057589993188767	238	5:40
6.3%	31400	-34981.02170568626	302.94960402934237	1.057589993188767	237	5:41
  1%|▏         | 65/5000 [00:04<06:27, 12.74it/s]6.3%	31500	-35110.51766199418	301.68530582660543	1.061425960870011	238	5:40
6.3%	31600	-35047.31453699418	301.8104948141292	1.061425960870011	238	5:39
  1%|▏         | 67/5000 [00:04<06:03, 13.58it/s]6.3%	31700	-34875.17488652878	304.6178055582575	1.053938363654972	238	5:40
6.4%	31800	-34966.17874838659	304.80789636563327	1.054158409485884	237	5:41
  1%|▏         | 69/5000 [00:05<06:28, 12.70it/s]6.4%	31900	-35160.612953174976	300.9853905132556	1.0522686042098346	237	5:41
6.4%	32000	-35001.15592879336	297.98401088335635	1.045343502577368	236	5:42
  1%|▏         | 71/5000 [00:05<06:22, 12.89it/s]6.4%	32100	-34852.59342879336	301.40725374937256	1.045343502577368	235	5:43
6.4%	32200	-34920.415718464326	307.7933312954312	1.0499532086614753	236	5:42
  1%|▏         | 73/5000 [00:05<06:24, 12.81it/s]6.5%	32300	-35043.48224096469	305.51866910307257	1.0510572569017522	236	5:41
6.5%	32400	-34728.78692846469	283.56288692602124	1.0510572569017522	237	5:41
  2%|▏         | 75/5000 [00:05<06:00, 13.67it/s]6.5%	32500	-34639.900200048956	307.7599881818618	1.0553357616509644	237	5:40
6.5%	32600	-34895.43187451572	278.5119737693224	1.0628391564060504	237	5:41
  2%|▏         | 77/5000 [00:05<06:05, 13.48it/s]6.5%	32700	-35148.28343701572	288.5765471764564	1.0628391564060504	237	5:40
6.6%	32800	-34954.72874951572	296.14948460871153	1.0628391564060504	236	5:41
  2%|▏         | 79/5000 [00:05<06:08, 13.37it/s]6.6%	32900	-34664.97868921998	292.7429166766383	1.0597508160341167	236	5:42
6.6%	33000	-35029.013882042374	302.8450028114258	1.0567076789199155	236	5:41
  2%|▏         | 81/5000 [00:06<06:10, 13.27it/s]6.6%	33100	-34906.974819542374	307.2210303041673	1.0567076789199155	237	5:41
6.6%	33200	-34786.49416193948	305.7023121999632	1.0421053278424428	236	5:42
  2%|▏         | 83/5000 [00:06<06:12, 13.19it/s]6.7%	33300	-34624.07475866526	303.87995550473477	1.0393984544606314	235	5:42
6.7%	33400	-34896.724156303215	302.3652395649486	1.0404679224683107	232	5:47
  2%|▏         | 85/5000 [00:06<07:16, 11.26it/s]6.7%	33500	-34690.911656303215	292.38863243052265	1.0404679224683107	233	5:46
6.7%	33600	-34789.85761737113	312.25384017671223	1.0433864679300708	232	5:46
  2%|▏         | 87/5000 [00:06<06:54, 11.84it/s]6.7%	33700	-34769.85761737113	305.7044983778912	1.0433864679300708	233	5:46
6.8%	33800	-34768.995790086075	303.1947287162522	1.0428294636389701	232	5:46
  2%|▏         | 89/5000 [00:06<06:37, 12.36it/s]6.8%	33900	-34892.76497742825	306.4684561130077	1.043487221551439	233	5:45
6.8%	34000	-34849.03960476475	297.1143789335495	1.049146663163931	233	5:45
  2%|▏         | 91/5000 [00:06<06:10, 13.23it/s]6.8%	34100	-35079.100496537256	293.73054256624374	1.056097791651916	234	5:44
6.8%	34200	-35066.580919799104	297.4217503001853	1.0545534482433885	234	5:43
  2%|▏         | 93/5000 [00:06<05:51, 13.94it/s]6.9%	34300	-35078.221544799104	296.6684316224326	1.0545534482433885	234	5:43
6.9%	34400	-35069.969277837925	299.0482013157997	1.0482643118238668	235	5:42
